congress,chamber,icpsr,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2
114,Senate,20100,AZ,200,0,1 ,"FLAKE, Jeff",F000444,0.855,-0.518,-151.07924,0.6899,407,70,0.686,-0.728
114,Senate,20101,AR,200,0,1 ,"BOOZMAN, John",B001236,0.401,0.248,-70.01045,0.84579,418,21,0.469,0.309
114,Senate,21301,AR,200,0,1 ,"COTTON, Tom",C001095,0.61,0.143,-64.42976,0.85458,410,27,0.611,0.091
114,Senate,15011,CA,100,0,1 ,"BOXER, Barbara",B000711,-0.45,-0.423,-46.4471,0.881,368,22,-0.485,-0.466
114,Senate,49300,CA,100,0,1 ,"FEINSTEIN, Dianne",F000062,-0.269,-0.21,-55.94454,0.87157,407,31,-0.244,-0.171
114,Senate,21112,CO,200,0,1 ,"GARDNER, Cory",G000562,0.454,-0.015,-110.59522,0.76557,414,46,0.405,-0.059
114,Senate,40910,CO,100,0,1 ,"BENNET, Michael F.",B001267,-0.207,-0.122,-73.77202,0.83891,420,35,-0.175,-0.137
114,Senate,20707,CT,100,0,1 ,"MURPHY, Christopher",M001169,-0.306,-0.178,-46.45353,0.89482,418,13,-0.376,-0.15
114,Senate,41101,CT,100,0,1 ,"BLUMENTHAL, Richard",B001277,-0.424,-0.097,-47.18102,0.89326,418,15,-0.337,-0.162
114,Senate,15015,DE,100,0,1 ,"CARPER, Thomas Richard",C000174,-0.174,-0.219,-90.78999,0.80093,409,37,-0.187,-0.192
114,Senate,40916,DE,100,0,1 ,"COONS, Christopher A.",C001088,-0.243,-0.209,-47.94083,0.88784,403,22,-0.293,-0.442
114,Senate,14651,FL,100,0,1 ,"NELSON, Clarence William (Bill)",N000032,-0.193,0.339,-95.86456,0.78403,394,40,-0.299,0.102
114,Senate,41102,FL,200,0,1 ,"RUBIO, Marco",R000595,0.576,-0.302,-86.11678,0.74903,298,33,0.617,-0.209
114,Senate,29909,GA,200,0,1 ,"ISAKSON, Johnny",I000055,0.403,-0.014,-75.4227,0.83491,418,27,0.416,0.071
114,Senate,41501,GA,200,0,1 ,"PERDUE, David Alfred, Jr.",P000612,0.611,-0.193,-96.78749,0.79198,415,46,0.68,-0.379
114,Senate,20713,HI,100,0,1 ,"HIRONO, Mazie",H001042,-0.485,-0.089,-36.64773,0.91625,419,11,-0.453,-0.308
114,Senate,41112,HI,100,0,1 ,"SCHATZ, Brian Emanuel",S001194,-0.417,-0.112,-43.30612,0.90136,417,17,-0.424,-0.098
114,Senate,29345,ID,200,0,1 ,"CRAPO, Michael Dean",C000880,0.509,0.282,-77.35608,0.82882,412,37,0.57,0.715
114,Senate,40902,ID,200,0,1 ,"RISCH, James",R000584,0.636,0.57,-62.30928,0.86182,419,30,0.589,0.709
114,Senate,15021,IL,100,0,1 ,"DURBIN, Richard Joseph",D000563,-0.363,-0.363,-38.70277,0.91013,411,16,-0.416,-0.306
114,Senate,20115,IL,200,0,1 ,"KIRK, Mark Steven",K000360,0.274,-0.647,-139.86855,0.706,402,65,0.268,-0.606
